DNR_ID,site,date,sizeRange,percent
62-0075,202,2014-08-06T00:00:00Z,0_33,0
62-0054,101,2014-08-05T00:00:00Z,0_33,0
62-0056,212,2014-08-05T00:00:00Z,0_33,0
62-0082,201,2014-08-05T00:00:00Z,0_33,0
62-0048,201,2014-08-04T00:00:00Z,0_33,0
62-0055,201,2014-08-04T00:00:00Z,0_33,0
62-0231,201,2014-08-04T00:00:00Z,0_33,0
62-0057,401,2014-08-01T00:00:00Z,0_33,0
62-0078,204,2014-08-01T00:00:00Z,0_33,0
62-0039,201,2014-07-31T00:00:00Z,0_33,0
62-0071,201,2014-07-31T00:00:00Z,0_33,0
62-0047,201,2014-07-30T00:00:00Z,0_33,0
62-0225,201,2014-07-30T00:00:00Z,0_33,0
62-0067,202,2014-07-29T00:00:00Z,0_33,0
62-0083,204,2014-07-29T00:00:00Z,0_33,0
02-0003,204,2014-07-28T00:00:00Z,0_33,0
62-0002,207,2014-07-28T00:00:00Z,0_33,0
62-0001,202,2014-07-24T00:00:00Z,0_33,0
62-0011,201,2014-07-24T00:00:00Z,0_33,0
62-0016,201,2014-07-24T00:00:00Z,0_33,0
82-0167,234,2014-07-21T00:00:00Z,0_33,0
62-0006,202,2014-07-18T00:00:00Z,0_33,0
62-0007,203,2014-07-18T00:00:00Z,0_33,0
62-0010,401,2014-07-18T00:00:00Z,0_33,0
62-0012,201,2014-07-17T00:00:00Z,0_33,0
62-0013,201,2014-07-17T00:00:00Z,0_33,0
62-0061,208,2014-07-16T00:00:00Z,0_33,0
62-0073,201,2014-07-16T00:00:00Z,0_33,0
62-0075,202,2014-07-16T00:00:00Z,0_33,0
62-0054,101,2014-07-15T00:00:00Z,0_33,0
62-0056,212,2014-07-15T00:00:00Z,0_33,0
62-0082,201,2014-07-15T00:00:00Z,0_33,0
62-0057,401,2014-07-14T00:00:00Z,0_33,0
62-0078,204,2014-07-14T00:00:00Z,0_33,0
62-0048,201,2014-07-11T00:00:00Z,0_33,0
62-0055,201,2014-07-11T00:00:00Z,0_33,0
62-0231,201,2014-07-11T00:00:00Z,0_33,0
62-0067,202,2014-07-10T00:00:00Z,0_33,0
62-0083,204,2014-07-10T00:00:00Z,0_33,0
62-0013,201,2014-07-09T00:00:00Z,0_33,0
62-0071,201,2014-07-09T00:00:00Z,0_33,0
02-0003,204,2014-07-08T00:00:00Z,0_33,0
62-0002,207,2014-07-08T00:00:00Z,0_33,0
82-0167,234,2014-07-07T00:00:00Z,0_33,0
62-0001,202,2014-07-03T00:00:00Z,0_33,0
62-0011,201,2014-07-03T00:00:00Z,0_33,0
62-0016,201,2014-07-03T00:00:00Z,0_33,0
62-0006,202,2014-07-02T00:00:00Z,0_33,0
62-0007,203,2014-07-02T00:00:00Z,0_33,0
62-0010,401,2014-07-02T00:00:00Z,0_33,0
62-0012,201,2014-07-02T00:00:00Z,0_33,0
62-0013,201,2014-07-02T00:00:00Z,0_33,0
62-0061,208,2014-07-01T00:00:00Z,0_33,0
