DNR_ID,site,date,sizeRange,count
62_0002,207,2020-09-04,167_199,0
62_0002,207,2020-09-24,167_199,0
62_0047,201,2020-04-15,167_199,0
62_0047,201,2020-05-05,167_199,0
62_0047,201,2020-05-20,167_199,0
62_0047,201,2020-06-11,167_199,0
62_0047,201,2020-07-01,167_199,0
62_0047,201,2020-07-23,167_199,0
62_0047,201,2020-08-06,167_199,0
62_0047,201,2020-08-26,167_199,0
62_0047,201,2020-09-11,167_199,0
62_0047,201,2020-10-09,167_199,0
62_0054,101,2020-07-17,167_199,1
62_0054,101,2020-04-13,167_199,0
62_0054,101,2020-05-04,167_199,1
62_0054,101,2020-05-18,167_199,5
62_0054,101,2020-06-10,167_199,2
62_0054,101,2020-06-25,167_199,20
62_0054,101,2020-08-05,167_199,0
62_0054,101,2020-08-20,167_199,1
62_0054,101,2020-09-10,167_199,0
62_0054,101,2020-10-08,167_199,0
62_0055,201,2020-04-10,167_199,0
62_0055,201,2020-05-01,167_199,0
62_0055,201,2020-05-17,167_199,0
62_0055,201,2020-05-21,167_199,0
62_0055,201,2020-05-26,167_199,0
62_0055,201,2020-06-26,167_199,0
62_0055,201,2020-07-14,167_199,0
62_0055,201,2020-08-03,167_199,1
62_0055,201,2020-08-20,167_199,0
62_0055,201,2020-09-06,167_199,0
62_0055,201,2020-09-09,167_199,0
62_0055,201,2020-10-05,167_199,0
62_0055,201,2020-10-23,167_199,0
62_0057,401,2020-05-07,167_199,0
62_0057,401,2020-06-02,167_199,4
62_0057,401,2020-06-15,167_199,0
62_0057,401,2020-07-02,167_199,0
62_0057,401,2020-07-22,167_199,0
62_0057,401,2020-08-07,167_199,0
62_0057,401,2020-08-27,167_199,2
62_0057,401,2020-09-17,167_199,2
62_0061,208,2020-05-08,167_199,0
62_0061,208,2020-05-28,167_199,0
62_0061,208,2020-06-16,167_199,0
62_0061,208,2020-07-06,167_199,0
62_0061,208,2020-07-24,167_199,0
62_0061,208,2020-08-12,167_199,4
62_0061,208,2020-09-02,167_199,6
62_0061,208,2020-09-15,167_199,0
62_0067,202,2020-05-27,167_199,12
62_0067,202,2020-06-12,167_199,4
62_0067,202,2020-06-29,167_199,0
62_0067,202,2020-07-21,167_199,0
